,tipo,centro,direccion,n_distrito,n_barrio,aceite,objectid,estado,codigo,created_user,created_date,last_edited_user,last_edited_date,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2,VIA PUBLICA,,AV BALEARS - C/ TRAFALGAR,12,125,1,6,Instalado,212,,,U60391,2023-06-12T07:49:50+02:00,Feature,"[-0.3454201849871817, 39.46036551392851]",Point,-0.3454201849871817,39.46036551392851
3,04-CENTRE EDUCATIU,COLEGIO PUREZA DE MARIA,"AV CID, 142",7,072,1,7,Instalado,ED13,,,U60391,2023-05-12T09:08:50+02:00,Feature,"[-0.4091831441989463, 39.470237996285604]",Point,-0.4091831441989463,39.470237996285604
4,VIA PUBLICA,,"C/ SALAMANCA, 55",02,023,1,9,Instalado,282,,,U60391,2023-06-12T07:51:06+02:00,Feature,"[-0.36229317462455984, 39.46352908622209]",Point,-0.36229317462455984,39.46352908622209
5,04-CENTRE EDUCATIU,ESCUELAS SAN JOSÉ-JESUITAS,AV CORTS VALENCIANES 1,4,041,1,10,Instalado,ED49,,,U60391,2023-05-12T09:16:07+02:00,Feature,"[-0.3974687920139127, 39.486880824869445]",Point,-0.3974687920139127,39.486880824869445
6,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""GIORGETA-CARMEN GRACIA""","AV GIORGETA, 18",9,091,1,13,Instalado,MA11,,,U60391,2023-05-12T09:17:04+02:00,Feature,"[-0.3858615594705692, 39.46037829854154]",Point,-0.3858615594705692,39.46037829854154
7,00-DEPENDENCIES MUNICIPALS,CONSULTORI AUXILIAR BARRI LA PUNTA,"AV JESÚS MORANTE BORRÁS, 176",10,106,1,14,Instalado,DM14,,,U60391,2023-05-12T09:17:26+02:00,Feature,"[-0.34391832975438835, 39.442560553374506]",Point,-0.34391832975438835,39.442560553374506
8,09-UNIVERSITAT POPULAR,UP MALVARROSA,"AV MALVA-ROSA, 98",11,113,1,15,Instalado,UP13,,,U60391,2023-05-12T09:17:44+02:00,Feature,"[-0.32793390221576063, 39.48127636236008]",Point,-0.32793390221576063,39.48127636236008
9,08-VARIS,ORGANISME AUTÒNOM MUNICIPAL PARCS I JARDINS,"C/ ANTONI SUÁREZ, 7",6,062,1,21,Instalado,VA02,,,U60391,2023-05-12T09:21:14+02:00,Feature,"[-0.3579192322149416, 39.468642477269476]",Point,-0.3579192322149416,39.468642477269476
11,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""NATZARET""","PL ARAS DE LOS OLMOS, 4",11,115,1,24,Instalado,MA38,,,U60391,2023-05-12T13:04:46+02:00,Feature,"[-0.3333359892145762, 39.44853537574603]",Point,-0.3333359892145762,39.44853537574603
12,04-CENTRE EDUCATIU,AVAPACE,PL JOSÉ MARÍA ORENSE,13,132,1,25,Instalado,ED28,,,U60391,2023-05-12T13:05:03+02:00,Feature,"[-0.3402540238630378, 39.47335316409278]",Point,-0.3402540238630378,39.47335316409278
13,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""BENIMAMET""","PL LUIS CANO, 2ac",18,181,1,26,Instalado,MA33,,,U60391,2023-05-12T13:05:21+02:00,Feature,"[-0.4180495394189374, 39.501604036523844]",Point,-0.4180495394189374,39.501604036523844
14,01-MERCAT,MERCAT DEL GRAU,PL MERCAT NOU,11,111,1,27,Instalado,ME11,,,U60391,2023-05-12T13:05:44+02:00,Feature,"[-0.3348547446756048, 39.4612658218242]",Point,-0.3348547446756048,39.4612658218242
15,01-MERCAT,MERCAT CENTRAL,"PL MERCAT, 6",1,015,2,28,Instalado,ME01,,,U60391,2023-05-12T13:06:02+02:00,Feature,"[-0.37845796653037966, 39.47375762979897]",Point,-0.37845796653037966,39.47375762979897
16,03-ASSOCIACIÓ VEÏNS,"ASSOCIACIÓ VEÏNS ""PATRAIX""","PL PATRAIX, 13",8,081,1,29,Instalado,AV04,,,U60391,2023-05-12T13:06:21+02:00,Feature,"[-0.3924325530631924, 39.46319466365763]",Point,-0.3924325530631924,39.46319466365763
17,01-MERCAT,MERCAT VALVANERA,PL SANTIAGO SUÁREZ (SANTI),9,093,1,32,Instalado,ME06,,,U60391,2023-05-12T13:07:09+02:00,Feature,"[-0.38754815216013644, 39.452350266346976]",Point,-0.38754815216013644,39.452350266346976
18,04-CENTRE EDUCATIU,COL·LEGI JESÚS-MARÍA,"GV FERRAN EL CATÒLIC, 37",3,033,1,38,Instalado,ED11,,,U60391,2023-05-12T13:12:27+02:00,Feature,"[-0.3871187806300474, 39.47264012036855]",Point,-0.3871187806300474,39.47264012036855
20,01-MERCAT,MERCAT ROJAS CLEMENT,C/ BOTÀNIC,3,031,1,50,Instalado,ME03,,,U60391,2023-05-12T09:24:50+02:00,Feature,"[-0.3852585188864441, 39.47299307196004]",Point,-0.3852585188864441,39.47299307196004
21,07-ALCALDIA DE BARRI,ALCALDIA EL PALMAR,"C/ CAUDETE, 15",19,195,1,53,Instalado,AB04,,,U60391,2023-05-12T09:25:44+02:00,Feature,"[-0.3176533724198616, 39.30938519493066]",Point,-0.3176533724198616,39.30938519493066
22,00-DEPENDENCIES MUNICIPALS,CM OCUPACIÓ I FORMACIÓ,"C/ LLEONS, 9",12,121,1,57,Instalado,DM07,,,U60391,2023-05-12T11:52:34+02:00,Feature,"[-0.3486057753040274, 39.465466657918]",Point,-0.3486057753040274,39.465466657918
23,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""CABANYAL-CANYAMELAR""","C/ DOCTOR LLUCH, Ft. 75",11,112,1,62,Instalado,MA37,,,U60391,2023-05-12T12:02:59+02:00,Feature,"[-0.3282848832395655, 39.46677095323611]",Point,-0.3282848832395655,39.46677095323611
24,07-ALCALDIA DE BARRI,ALCALDIA EL FORN D'ALCEDO,"C/ GUADALQUIVIR, 15",19,191,1,67,Instalado,AB01,,,U60391,2023-05-12T12:09:15+02:00,Feature,"[-0.37613390739669833, 39.43259613113737]",Point,-0.37613390739669833,39.43259613113737
25,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""FORN D'ALCEDO""","C/ RIU CABRIOL, 2 Baix",19,191,1,68,Instalado,MA14,,,U60391,2023-05-12T12:09:28+02:00,Feature,"[-0.37492592531276875, 39.432683873268374]",Point,-0.37492592531276875,39.432683873268374
26,02-CM_PERSONES MAJORS,"CM ACTIVITATS PERSONES MAJORS ""ARRANCAPINS""","C/ HISTORIADOR DIAGO, 6-8",3,034,1,71,Instalado,MA02,,,U60391,2023-05-12T12:10:59+02:00,Feature,"[-0.38378188262656665, 39.46756431890583]",Point,-0.38378188262656665,39.46756431890583
